product_id,name,category,price,rating,image_url
1,Clothing Product 1,Clothing,226.07,4.5,https://picsum.photos/seed/product_1/400/300
2,Sports Product 2,Sports,182.1,4.6,https://picsum.photos/seed/product_2/400/300
3,Home & Garden Product 3,Home & Garden,281.26,3.0,https://picsum.photos/seed/product_3/400/300
4,Clothing Product 4,Clothing,249.31,4.3,https://picsum.photos/seed/product_4/400/300
5,Electronics Product 5,Electronics,388.96,3.2,https://picsum.photos/seed/product_5/400/300
6,Sports Product 6,Sports,55.85,4.2,https://picsum.photos/seed/product_6/400/300
7,Home & Garden Product 7,Home & Garden,188.34,4.9,https://picsum.photos/seed/product_7/400/300
8,Clothing Product 8,Clothing,255.26,3.6,https://picsum.photos/seed/product_8/400/300
9,Sports Product 9,Sports,408.16,3.1,https://picsum.photos/seed/product_9/400/300
10,Sports Product 10,Sports,293.87,4.1,https://picsum.photos/seed/product_10/400/300
11,Clothing Product 11,Clothing,315.65,4.4,https://picsum.photos/seed/product_11/400/300
12,Clothing Product 12,Clothing,485.97,4.1,https://picsum.photos/seed/product_12/400/300
13,Clothing Product 13,Clothing,84.15,4.6,https://picsum.photos/seed/product_13/400/300
14,Home & Garden Product 14,Home & Garden,46.81,4.4,https://picsum.photos/seed/product_14/400/300
15,Home & Garden Product 15,Home & Garden,168.04,3.2,https://picsum.photos/seed/product_15/400/300
16,Books Product 16,Books,78.76,3.4,https://picsum.photos/seed/product_16/400/300
17,Books Product 17,Books,289.03,4.2,https://picsum.photos/seed/product_17/400/300
18,Home & Garden Product 18,Home & Garden,30.23,4.1,https://picsum.photos/seed/product_18/400/300
19,Clothing Product 19,Clothing,267.12,4.7,https://picsum.photos/seed/product_19/400/300
20,Electronics Product 20,Electronics,63.84,3.0,https://picsum.photos/seed/product_20/400/300
21,Electronics Product 21,Electronics,93.77,4.8,https://picsum.photos/seed/product_21/400/300
22,Home & Garden Product 22,Home & Garden,376.66,4.7,https://picsum.photos/seed/product_22/400/300
23,Sports Product 23,Sports,143.33,3.3,https://picsum.photos/seed/product_23/400/300
24,Electronics Product 24,Electronics,483.6,3.2,https://picsum.photos/seed/product_24/400/300
25,Sports Product 25,Sports,349.94,4.2,https://picsum.photos/seed/product_25/400/300
